frame,gun_with_protagonist,gun_closeup,protagonist,misc_char,mom,uncle,dad,unrevealed_object_protag_looks_at,bullets,annoying_kid,maid,preSMA_neur1,preSMA_neur2,preSMA_neur3,preSMA_neur4,preSMA_neur5,preSMA_neur6,preSMA_neur7,preSMA_neur8,preSMA_neur9,preSMA_neur10,amygdala_neur11,amygdala_neur12,amygdala_neur13,amygdala_neur14,amygdala_neur15,amygdala_neur16,amygdala_neur17,amygdala_neur18,amygdala_neur19,amygdala_neur20,amygdala_neur21,amygdala_neur22,amygdala_neur23,amygdala_neur24,amygdala_neur25,amygdala_neur26,amygdala_neur27,hippocampus_neur28,hippocampus_neur29,hippocampus_neur30,hippocampus_neur31,hippocampus_neur32,hippocampus_neur33,hippocampus_neur34,hippocampus_neur35,hippocampus_neur36,hippocampus_neur37,hippocampus_neur38,hippocampus_neur39,hippocampus_neur40,hippocampus_neur41,hippocampus_neur42,hippocampus_neur43,hippocampus_neur44,hippocampus_neur45,hippocampus_neur46,hippocampus_neur47,ACC_neur48,ACC_neur49,ACC_neur50,ACC_neur51,preSMA_neur52,preSMA_neur53,preSMA_neur54,preSMA_neur55,amygdala_neur56,amygdala_neur57,amygdala_neur58,amygdala_neur59,amygdala_neur60,amygdala_neur61,amygdala_neur62,amygdala_neur63,amygdala_neur64,amygdala_neur65,amygdala_neur66,amygdala_neur67,amygdala_neur68,hippocampus_neur69,hippocampus_neur70,hippocampus_neur71,hippocampus_neur72,hippocampus_neur73,hippocampus_neur74,hippocampus_neur75,hippocampus_neur76,hippocampus_neur77,hippocampus_neur78,hippocampus_neur79,vmPFC_neur80,vmPFC_neur81,vmPFC_neur82,vmPFC_neur83,vmPFC_neur84,vmPFC_neur85,vmPFC_neur86,vmPFC_neur87,vmPFC_neur88,vmPFC_neur89,vmPFC_neur90,vmPFC_neur91,vmPFC_neur92
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4432783688026493,-0.0546673450541352,0.5385765683096492,3.574662562909765,-0.435653891599967,-1.564294094747661,-0.7934982858587336,0.585650363825322,0.166654585432432,0.4418612438111411,1.9012769667902905,3.188850767041298,-0.0762506534432473,-0.3940546491261859,0.2747892126144081,2.742397784501476,0.3835173417827527,1.70297739459418,0.3699753483817666,-0.5800837356730125,0.0638722271052524,-0.6024100487050318,-0.855578119350333,0.2054643572544663,-1.0016917313986244,-0.7898777419461441,1.612456745094372,-0.8752079734665317,0.6829359139954662,-0.0416153804724359,-1.468306766369248,-0.1450900125881015,-0.4413182566805843,-0.9295534123231556,0.0936544415157768,-0.844099986406694,-1.6263566054621137,-0.5588996708017323,-1.1685787836382404,0.2177142554578331,-0.0722480839324687,-0.2648249500361049,1.5910954548987892,0.2326001338981612,0.5848240832754017,-1.3235856194408249,-0.2538885271635481,0.2463795352689849,1.3320208686914163,-0.2129914456909585,0.8849871359650698,-0.0641934914880437,-0.4410009415151258,-0.7556034370986785,0.7889523200831638,-0.7732620481635609,0.5778379951213661,0.6551362757648281,-0.0384944372039168,-0.2321013969750138,-1.0228100406070382,0.3208857234006518,-0.6388596280720158,0.2323003836643104,-0.2860719628496141,0.7079264765819258,-0.6951058939109604,-0.2002885077978676,-1.2069049908624323,-1.313863970169702,-0.9765879895797838,-0.9457387910439518,-0.7283051745769673,-0.8380297625852697,-0.6098974056073979,-1.0633021996424687,-0.1945504867095027,-1.397265524923954,-0.487415685211484,0.2781046055929095,-0.8981765798865317,0.0359442577344795,0.8980570829534424,3.761152054176402,-1.3212874469319609,0.5377370758970837,1.0870610220792731,0.5335355023073248,-0.0798286643819501,1.800713705665551,-0.8384679205157917,-1.3520666196138638
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5788440835335568,0.7829774581947103,0.5385765683096492,3.574662562909765,-1.1300686517005858,-1.564294094747661,-0.7934982858587336,0.585650363825322,1.3029358497444676,-1.3792588499874885,1.4194916591213715,5.9554336242917385,-0.7469739939162557,0.4024387905969558,0.2747892126144081,1.9679394327546265,1.179022745043921,0.6876038434240098,-1.073460302388986,0.5825313463720545,-0.3061193323459056,-1.0009403734054358,-0.855578119350333,1.706934660267874,0.129826871251427,-0.2849087952107221,-0.1442335161896341,-0.8752079734665317,-0.7193460419750516,-1.0058741962971722,0.2948279386425791,2.407419468128501,-1.0140673602960968,-0.9295534123231556,-0.6124703159444451,0.1937278657326837,-0.7912005107653526,-0.9756615917292408,0.7699832264717626,-0.7961511498605075,-1.312651934580276,-0.2648249500361049,-0.7060788340888244,-1.2148024460358111,0.5848240832754017,-0.9999289042622448,0.2304369764616942,2.0942260497863723,-0.1637472462693939,-0.2129914456909585,0.4516171467038243,0.8542374861270402,-0.7652663396880125,-0.7556034370986785,-0.6561081633596495,-0.7732620481635609,0.5778379951213661,-1.269748658183378,-0.0384944372039168,-0.2321013969750138,-0.0920920917787946,0.3208857234006518,-1.162967267682046,0.6550692811376723,0.6985960252197096,1.0047182474348957,0.5603134962324092,-0.2002885077978676,-1.2069049908624323,-0.5709051775142158,-0.9765879895797838,-0.9457387910439518,-0.7283051745769673,-0.8380297625852697,-1.337790037927785,-1.0633021996424687,-0.8453355654912899,-0.693446729230552,-1.0426253985818796,-0.9681188628658832,-0.5056891139747538,0.0359442577344795,-0.2968367949257877,0.8702989381023066,1.7439703664633086,-0.7926020441608058,-0.9418347951610204,2.820804126819773,0.225966622565037,-0.877800940026944,-0.8384679205157917,0.4951960198394017
13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4432783688026493,2.458267064692401,1.7956963223493707,0.4804216200721552,-1.1300686517005858,-1.564294094747661,-0.2359366204994163,0.585650363825322,1.3029358497444676,-1.3792588499874885,0.6968136976179937,3.188850767041298,-0.0762506534432473,1.1989322303200978,-0.7370315315084126,0.4190227292609271,0.3835173417827527,0.3491459930339531,-0.7126013896962977,0.5825313463720545,-0.3061193323459056,-0.2038797240046277,-0.855578119350333,-0.2950257437500029,1.2613454739014784,0.7250290982601217,-0.8029923641711364,-0.239544689985488,1.1503632326523054,1.404772843264669,-0.9645539935087258,0.8759137796985393,-1.0140673602960968,-0.4588307355070587,0.0936544415157768,-0.4981573690269014,0.6007263137292492,-0.1421377498742238,-0.5223914469349061,-0.7961511498605075,0.341219866283467,-0.2648249500361049,-0.7060788340888244,1.1975351871874762,1.889009245509279,-1.1617572618515348,1.9255762391500428,0.2463795352689849,1.3320208686914163,0.3821317113867197,1.7517271144875608,0.8542374861270402,-0.1167355433422391,0.5542930323242132,0.0664220783617571,-0.7732620481635609,-0.647488110604745,0.0135079644487593,0.6145361939339584,-0.2321013969750138,-1.0228100406070382,1.484402659395382,-0.6388596280720158,-0.6132374112824133,-0.2860719628496141,0.7079264765819258,-0.6951058939109604,-0.2002885077978676,-0.4028659015782033,-0.5709051775142158,-0.9765879895797838,0.0637576713063338,0.7956814242074356,-0.8380297625852697,-1.337790037927785,-0.2229219253826141,-1.4961206442730768,-0.693446729230552,-1.0426253985818796,0.901216339822306,-0.8981765798865317,-0.8626621856275073,-0.2968367949257877,0.8702989381023066,-0.5549729935831436,0.5377370758970837,-0.9418347951610204,1.4484429521123043,-0.6914192382759244,0.9078754904347192,1.2358667786769222,0.4951960198394017
14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5788440835335568,-0.0546673450541352,0.5385765683096492,-0.2931386156372473,-0.435653891599967,-1.564294094747661,-0.2359366204994163,-0.7327568533169905,-0.5908662574422584,-1.3792588499874885,-0.2667569177198434,1.8055593384160773,-0.0762506534432473,0.4024387905969558,0.2747892126144081,-0.3554356224859225,1.9745281483050887,0.0106881426438964,-1.073460302388986,0.5825313463720545,-0.6761108917970637,0.1946506006957762,-0.855578119350333,-0.2950257437500029,0.6955861725764528,2.239935938466388,-0.1442335161896341,-0.8752079734665317,-0.7193460419750516,-0.5237447883848041,1.050457097933362,0.3654118835552188,-1.0140673602960968,0.0118919413090381,-1.318595073404667,-0.4981573690269014,-0.2344297809675118,-1.392423512656749,1.416170563175097,-0.7961511498605075,-0.8991839843643403,0.5021985333001743,-0.7060788340888244,-0.2498673927464962,-0.2846326915471832,-0.5144438314943747,0.4725997282743154,-0.3695693029034775,0.5841368112110112,-0.8081146027686367,0.4516171467038243,3.0584718324032414,-0.7652663396880125,1.427557345272808,0.3072654922688927,-0.7732620481635609,3.0284902065735886,1.9383928983969656,2.2471127717786463,0.974995284373142,-0.0920920917787946,-0.8426312125940784,0.9334632907580748,0.6550692811376723,0.6985960252197096,1.0047182474348957,0.5603134962324092,-1.0422092264172231,-1.2069049908624323,0.1720536151412705,0.0474281142842279,-0.9457387910439518,-0.7283051745769673,0.3867829673470475,1.5737804913537632,-1.0633021996424687,0.4562345920722842,-0.693446729230552,0.0677940281589115,-0.9681188628658832,2.241723147407692,-0.8626621856275073,-0.2968367949257877,-1.056936472613757,0.2113414597656739,-0.7926020441608058,0.0726131134591263,0.9909892272098144,2.06073834424696,0.0150372752038876,-0.8384679205157917,0.4951960198394017
15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5788440835335568,1.620622261443556,1.16713644532951,2.02754209149096,0.9531756286012704,-0.2175977739408843,-0.7934982858587336,-0.7327568533169905,1.6816962711818129,-1.3792588499874885,-1.2303275330576806,0.4222679097908567,-0.0762506534432473,-1.1905480888493278,-0.7370315315084126,1.1934810810077767,-1.207493464739584,-0.3277697077461603,-0.3517424770036096,1.3576080677354323,-1.41609401069938,-1.39947069810584,-0.855578119350333,-0.7955158447544722,0.6955861725764528,0.2200601515246997,-1.242164929492138,0.3961185934955556,0.6829359139954662,1.8869022511770368,-1.2164303799389868,-1.1660938048747425,-0.4413182566805843,0.0118919413090381,0.0936544415157768,0.1937278657326837,-0.7912005107653526,-1.392423512656749,-0.5223914469349061,-0.7961511498605075,-0.4857160341484045,-0.2648249500361049,3.888269743886403,-0.2498673927464962,-1.5888178537810604,-0.6762721890836647,-0.7382140307887904,0.8623283734414474,-0.1637472462693939,-0.8081146027686367,0.0182471574425788,0.8542374861270402,-0.7652663396880125,-0.7556034370986785,0.0664220783617571,0.4803197705316317,-0.647488110604745,2.5800212097130344,1.5940821406407713,-0.2321013969750138,-0.0920920917787946,-0.8426312125940784,-0.6388596280720158,-0.6132374112824133,-1.270739950918938,-0.7760323776829227,1.815732886375779,-1.0422092264172231,0.4011731877060259,0.9150124077967569,0.0474281142842279,-0.9457387910439518,0.7956814242074356,-0.8380297625852697,0.117995226712989,-0.2229219253826141,-0.8453355654912899,0.7141908621562523,1.1782134548997028,-0.9681188628658832,-0.1132016480629758,0.0359442577344795,0.3006101440138273,0.8702989381023066,-1.3212874469319609,-0.7926020441608058,-0.9418347951610204,1.4484429521123043,-0.9972145252229117,0.0150372752038876,0.1986994290805652,-0.1205581933116867
16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4432783688026493,3.2959118679412467,-0.7185431857300723,0.4804216200721552,-1.1300686517005858,-0.5542718541425784,0.8791867102192181,-0.7327568533169905,0.5454150068697773,-1.3792588499874885,-0.748542225388762,-0.2693778045217535,0.5944726870297612,0.4024387905969558,-0.7370315315084126,0.4190227292609271,1.179022745043921,-0.666227558136217,-0.7126013896962977,2.1326847890988105,0.4338637865564106,-0.6024100487050318,-0.855578119350333,-0.1281957100818465,0.129826871251427,-0.7898777419461441,-1.9009237774736405,-0.8752079734665317,0.2155085953386269,0.4405140274399322,-0.7126776070784648,0.8759137796985393,0.1314308469349281,0.953337294941232,1.5059039564362204,1.2315557178720613,0.6007263137292492,0.2746241710532845,1.416170563175097,1.2315796607761738,1.5816237169312743,2.803268983309012,1.5910954548987892,2.162470240476791,-0.2846326915471832,-0.1907871163157946,-0.4960512789761693,0.2463795352689849,-0.9116313037497992,0.977254868464398,-0.4151228318186667,1.2216098771730737,-0.7652663396880125,0.1176608758499159,0.3072654922688927,0.4803197705316317,1.8031641008474768,-0.6281203468673094,-1.3445556994796672,0.5726297239237568,-1.0228100406070382,0.3208857234006518,0.4093556511480445,0.2323003836643104,1.6832640132890335,-0.1824488359769833,-0.6951058939109604,0.6416322108214879,-1.2069049908624323,-1.313863970169702,-0.9765879895797838,-0.9457387910439518,0.7956814242074356,-0.8380297625852697,-1.337790037927785,-1.0633021996424687,0.4562345920722842,-1.397265524923954,-1.5978351119522751,-0.9681188628658832,2.241723147407692,0.0359442577344795,0.3006101440138273,0.8702989381023066,0.2113414597656739,-0.7926020441608058,-0.9418347951610204,0.5335355023073248,0.225966622565037,0.9078754904347192,-0.8384679205157917,-0.7363124064627753
17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5788440835335568,-0.8923121483029808,-0.7185431857300723,-1.06669885134665,-1.1300686517005858,-0.8909459343442725,-1.351059951218051,-0.7327568533169905,0.9241754283071224,-0.923978826537831,0.9377063514524532,-0.9610235188343638,3.2773660489217957,0.4024387905969558,0.2747892126144081,-0.3554356224859225,0.3835173417827527,-0.3277697077461603,-1.434319215081674,0.9700697070537436,0.4338637865564106,0.5931809253961803,-0.855578119350333,-0.1281957100818465,-1.5674510327236502,0.2200601515246997,-0.8029923641711364,1.0317818769765992,-1.1867733606318909,-1.0058741962971722,-0.9645539935087258,-1.1660938048747425,-1.0140673602960968,-0.9295534123231556,-1.318595073404667,0.8856131004922688,-1.3479712405631932,-0.9756615917292408,0.1237958897684282,-0.7961511498605075,-1.312651934580276,0.5021985333001743,-0.7060788340888244,-1.2148024460358111,-0.2846326915471832,-0.6762721890836647,-0.0117257753509269,0.2463795352689849,-0.1637472462693939,-0.8081146027686367,0.4516171467038243,0.3031788995579898,-0.1167355433422391,0.9909251887985104,-0.1744213355453783,-0.7732620481635609,0.5778379951213661,1.296764587080897,1.5940821406407713,0.5726297239237568,-1.0228100406070382,0.3208857234006518,0.9334632907580748,-0.1904685138090514,-0.2860719628496141,0.7079264765819258,0.5603134962324092,-0.2002885077978676,-0.4028659015782033,-0.5709051775142158,1.0714442181482395,0.0637576713063338,-0.7283051745769673,1.6115956972793648,-0.6098974056073979,-0.2229219253826141,-0.8453355654912899,-0.693446729230552,-1.0426253985818796,-0.3450071286364868,1.8492356814959137,0.0359442577344795,-0.8942837338654028,0.8702989381023066,-1.3212874469319609,-0.7926020441608058,-0.9418347951610204,0.9909892272098144,-0.0798286643819501,3.586390136127214,0.1986994290805652,-0.7363124064627753
18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5788440835335568,-0.8923121483029808,-0.0899833087102115,-0.2931386156372473,0.2587608685006515,-0.5542718541425784,-0.2359366204994163,-0.7327568533169905,0.9241754283071224,-0.4686988030881736,0.4559210437835344,0.4222679097908567,0.5944726870297612,1.1989322303200978,0.2747892126144081,-1.129893974232772,-0.4119880614784155,-0.666227558136217,-0.7126013896962977,0.9700697070537436,-0.3061193323459056,0.5931809253961803,-0.855578119350333,-0.4618557774181594,1.827104775226504,-0.7898777419461441,1.612456745094372,-0.8752079734665317,-1.1867733606318909,-1.0058741962971722,-0.2089248342179429,2.9179213642718214,-0.4413182566805843,0.482614618125135,1.5059039564362204,0.8856131004922688,-0.5128151458664322,-0.5588996708017323,-1.1685787836382404,-0.7961511498605075,-0.4857160341484045,1.2692220166364536,0.825370691902918,0.2326001338981612,-0.2846326915471832,-0.8381005466729547,-0.7382140307887904,0.2463795352689849,-0.1637472462693939,0.977254868464398,-0.8484928210799122,0.6705512906040234,0.2075298548306475,0.1176608758499159,-0.1744213355453783,0.4803197705316317,0.5778379951213661,0.6551362757648281,-0.6915250683417921,-1.4391980783231697,-1.0228100406070382,-0.8426312125940784,-0.6388596280720158,-1.0360063087557752,-1.270739950918938,0.411134705728956,-0.6951058939109604,-1.0422092264172231,0.4011731877060259,0.9150124077967569,-0.9765879895797838,0.0637576713063338,-0.7283051745769673,-0.8380297625852697,0.845887859033376,-0.2229219253826141,-0.1945504867095027,0.7141908621562523,-0.487415685211484,0.2781046055929095,0.67177328376058,-0.8626621856275073,-0.2968367949257877,-0.0933187672557251,-1.3212874469319609,0.5377370758970837,1.0870610220792731,-0.3813719474976546,-0.3856239513289373,0.0150372752038876,0.1986994290805652,0.4951960198394017
19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5788440835335568,-0.0546673450541352,1.16713644532951,0.4804216200721552,-1.1300686517005858,-0.5542718541425784,-1.351059951218051,-0.7327568533169905,2.8179775354938488,-0.923978826537831,-1.2303275330576806,-0.2693778045217535,-0.0762506534432473,-0.3940546491261859,0.2747892126144081,-1.129893974232772,0.3835173417827527,0.0106881426438964,-0.3517424770036096,0.9700697070537436,0.8038553460075687,1.3902415747969885,0.152857629263583,-0.1281957100818465,0.6955861725764528,-0.7898777419461441,1.1732841797733706,-0.8752079734665317,-1.1867733606318909,-1.0058741962971722,0.7985807115031012,0.8759137796985393,-1.0140673602960968,0.0118919413090381,0.7997791989759987,0.1937278657326837,-1.6263566054621137,-0.5588996708017323,0.1237958897684282,-0.7961511498605075,-0.4857160341484045,3.5702924666452915,-0.7060788340888244,-0.2498673927464962,0.1500956958641092,-0.6762721890836647,-0.0117257753509269,0.2463795352689849,-0.9116313037497992,0.3821317113867197,0.8849871359650698,3.425844223449275,0.5317952530035341,1.427557345272808,0.0664220783617571,0.4803197705316317,0.5778379951213661,0.6551362757648281,0.6145361939339584,0.5726297239237568,-1.0228100406070382,1.484402659395382,-0.1147519884619856,-0.1904685138090514,-0.2860719628496141,-0.1824488359769833,0.5603134962324092,-0.2002885077978676,2.0092513662744844,1.657971200452243,0.0474281142842279,3.0922470583571906,0.7956814242074356,-0.8380297625852697,2.30167312367415,0.6174583488772406,0.4562345920722842,2.1218284535430563,1.1782134548997028,2.1474398082810984,-0.8981765798865317,-0.8626621856275073,0.3006101440138273,0.8702989381023066,0.9776559131144912,-0.7926020441608058,-0.9418347951610204,-0.3813719474976546,-0.0798286643819501,0.9078754904347192,1.2358667786769222,-0.7363124064627753
20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4654008211388556,-0.0546673450541352,0.5385765683096492,-0.2931386156372473,-1.1300686517005858,2.4757948676726684,0.3216250448599008,0.585650363825322,0.5454150068697773,-0.923978826537831,-0.748542225388762,0.4222679097908567,-0.7469739939162557,1.1989322303200978,-0.7370315315084126,-1.129893974232772,-0.4119880614784155,0.0106881426438964,-1.434319215081674,1.3576080677354323,-0.3061193323459056,0.1946506006957762,0.152857629263583,-0.1281957100818465,0.129826871251427,-0.7898777419461441,-1.6813374948131394,-0.239544689985488,-1.1867733606318909,-1.0058741962971722,-0.4608012206482039,-0.1450900125881015,-1.0140673602960968,-1.4002760891392525,-1.318595073404667,-0.844099986406694,-0.2344297809675118,-0.1421377498742238,0.1237958897684282,-0.7961511498605075,-0.4857160341484045,-0.2648249500361049,-0.7060788340888244,-1.2148024460358111,-1.5888178537810604,-0.8381005466729547,-0.2538885271635481,-0.98551814107594,1.3320208686914163,-0.2129914456909585,-0.8484928210799122,-1.1663106646261443,1.1803260493493075,0.1176608758499159,-1.8603252328953277,-0.7732620481635609,0.5778379951213661,0.0135079644487593,0.2880208783650207,-0.2321013969750138,-1.0228100406070382,-0.8426312125940784,-0.6388596280720158,0.2323003836643104,-0.2860719628496141,-1.369615919388862,-0.6951058939109604,-0.2002885077978676,-0.4028659015782033,-1.313863970169702,0.0474281142842279,-0.9457387910439518,0.7956814242074356,0.3867829673470475,-0.6098974056073979,-1.0633021996424687,-1.4961206442730768,-0.693446729230552,-0.487415685211484,0.2781046055929095,-0.8981765798865317,-0.8626621856275073,-0.2968367949257877,0.8702989381023066,1.7439703664633086,-0.7926020441608058,-0.9418347951610204,0.9909892272098144,0.5317619095120242,0.9078754904347192,1.2358667786769222,-0.7363124064627753
